CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,40,50,0,0,1236,0
2,37,3,30,433,502,90
3,31,51,10,4,72,90
4,28,47,10,30,111,90
5,17,85,10,267,311,90
6,30,35,10,836,902,90
7,42,40,10,67,118,90
8,62,56,10,709,774,90
9,88,27,10,598,662,90
10,47,69,10,13,67,90
11,46,79,10,122,206,90
12,26,34,10,894,962,90
13,30,33,30,373,429,90
14,60,87,40,470,503,90
15,53,74,10,573,650,90
16,24,34,10,711,762,90
17,52,40,50,105,141,90
18,49,35,10,505,582,90
19,62,76,30,97,131,90
20,45,68,10,6,56,90
21,53,29,20,895,952,90
22,32,65,10,635,693,90
23,47,27,10,170,225,90
24,30,30,10,691,745,90
25,15,73,20,167,247,90
26,42,29,10,143,213,90
27,9,77,20,211,281,90
28,9,21,20,283,318,90
29,18,53,20,569,624,90
30,30,72,10,483,528,90
31,41,9,40,404,493,90
32,34,31,10,136,201,90
33,38,61,10,529,602,90
34,50,39,50,342,413,90
35,28,32,10,993,1064,90
36,31,37,20,76,157,90
37,41,68,20,961,1032,90
38,49,72,10,926,973,90
39,72,65,20,527,596,90
40,40,73,10,732,782,90
41,60,81,10,69,140,90
42,100,28,30,387,451,90
43,66,61,30,623,682,90
44,38,7,10,627,699,90
45,50,37,10,784,833,90
46,40,39,10,841,888,90
47,44,5,30,32,84,90
48,37,31,10,206,255,90
49,33,78,20,773,831,90
50,2,30,10,277,323,90
51,60,89,30,555,617,90
52,68,81,10,604,648,90
53,23,76,10,533,591,90
54,30,33,10,581,646,90
55,48,38,50,210,251,90
56,41,21,10,635,701,90
57,25,61,20,556,613,90
58,25,82,40,70,121,90
59,100,32,20,317,377,90
60,20,52,40,223,271,90
61,43,73,20,996,1065,90
62,79,23,10,764,806,90
63,23,54,10,612,686,90
64,8,87,40,684,740,90
65,69,58,10,199,256,90
66,70,90,20,387,471,90
67,32,3,20,619,686,90
68,77,50,20,388,444,90
69,63,91,40,469,515,90
70,35,9,20,42,107,90
71,84,19,10,837,887,90
72,41,4,30,563,635,90
73,89,23,10,626,696,90
74,25,57,10,538,625,90
75,59,80,10,9,87,90
76,64,54,10,32,89,90
77,57,56,10,29,83,90
78,24,74,30,14,70,90
79,33,65,20,284,357,90
80,82,32,20,109,165,90
81,20,51,10,910,999,90
82,93,29,10,480,546,90
83,38,15,40,49,94,90
84,31,29,10,546,608,90
85,42,15,10,135,188,90
86,40,14,10,163,226,90
87,29,55,10,743,793,90
88,59,86,30,686,716,90
89,50,35,50,189,247,90
90,0,32,30,497,544,90
91,20,77,10,638,680,90
92,25,39,10,1055,1124,90
93,22,77,20,75,128,90
94,33,27,10,146,210,90
95,43,41,10,38,110,90
96,38,69,10,573,634,90
97,63,77,10,141,207,90
98,74,77,20,396,473,90
99,83,26,10,598,678,90
100,47,2,20,308,368,90
101,11,47,30,20,89,90
102,93,27,30,336,400,90
103,16,78,20,207,284,90
104,65,87,20,721,796,90
105,67,81,30,219,256,90
106,22,28,10,569,627,90
107,64,78,10,95,157,90
108,60,86,20,669,751,90
109,22,48,10,449,516,90
110,94,29,10,111,204,90
111,46,34,10,850,897,90
112,51,30,10,455,505,90
113,45,70,20,638,720,90
114,60,84,30,582,643,90
115,14,36,20,182,216,90
116,89,27,10,372,422,90
117,22,40,10,354,399,90
118,42,66,10,745,801,90
119,28,35,10,813,883,90
120,26,89,20,686,758,90
121,14,35,20,202,239,90
122,9,39,20,186,216,90
123,0,37,30,169,208,90
124,39,39,10,30,110,90
125,47,37,20,834,917,90
126,0,49,30,456,497,90
127,26,86,20,671,742,90
128,40,33,20,96,181,90
129,27,71,30,0,62,90
130,56,38,50,375,441,90
131,44,71,10,1015,1079,90
132,90,29,10,602,680,90
133,38,73,10,336,395,90
134,18,32,10,617,685,90
