CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,40,50,0,0,1236,0
2,8,35,10,305,361,90
3,25,53,10,705,742,90
4,0,47,30,525,571,90
5,23,25,10,382,430,90
6,3,36,20,392,438,90
7,24,34,10,829,887,90
8,24,77,20,935,1008,90
9,36,30,20,112,194,90
10,44,35,50,305,368,90
11,40,70,10,401,458,90
12,50,42,10,32,72,90
13,39,10,20,278,337,90
14,31,31,20,86,157,90
15,23,55,10,447,525,90
16,95,35,20,231,300,90
17,93,30,10,698,751,90
18,22,55,10,649,721,90
19,39,1,30,316,360,90
20,24,52,10,102,168,90
21,60,77,10,56,109,90
22,35,39,10,1058,1128,90
23,63,49,20,135,200,90
24,35,16,10,787,845,90
25,42,41,10,666,727,90
26,39,55,20,742,782,90
27,41,10,20,309,371,90
28,37,41,10,105,181,90
29,57,77,10,69,155,90
30,30,54,10,181,220,90
31,46,72,30,1071,1126,90
32,25,86,20,686,749,90
33,39,72,10,180,255,90
34,55,58,10,886,928,90
35,60,61,10,763,806,90
36,50,31,50,946,998,90
37,35,29,10,247,290,90
38,28,34,20,426,508,90
39,23,90,40,860,908,90
40,55,82,20,0,46,90
41,19,75,20,43,98,90
42,51,66,10,940,985,90
43,24,21,10,761,822,90
44,6,43,20,743,818,90
45,4,45,10,837,867,90
46,37,4,30,365,423,90
47,34,56,20,926,975,90
48,31,54,10,60,129,90
49,60,85,10,722,789,90
50,62,84,30,503,568,90
51,26,24,10,346,398,90
52,5,45,30,437,478,90
53,55,76,20,23,65,90
54,22,54,20,563,622,90
55,69,58,20,483,537,90
56,88,29,10,491,565,90
57,70,76,10,594,651,90
58,60,86,30,561,617,90
59,83,36,30,88,158,90
60,5,40,20,376,420,90
61,53,73,10,303,354,90
62,45,39,10,644,692,90
63,50,65,10,958,1005,90
64,27,33,10,997,1067,90
65,34,69,10,121,171,90
66,24,37,10,880,947,90
67,89,34,10,588,651,90
68,66,51,10,320,382,90
69,30,57,10,767,819,90
70,44,3,20,314,376,90
71,44,23,10,580,645,90
72,24,36,10,1030,1096,90
73,45,31,10,598,645,90
74,42,8,30,479,532,90
75,60,83,10,981,1033,90
76,66,54,20,896,960,90
77,89,22,10,684,750,90
78,53,43,20,246,301,90
79,20,57,10,309,360,90
80,25,86,20,707,770,90
81,52,85,20,665,733,90
82,16,91,40,494,544,90
83,22,52,20,571,623,90
84,22,56,10,165,226,90
85,36,34,10,187,268,90
86,36,78,10,503,572,90
87,35,67,10,542,608,90
88,58,53,10,175,246,90
89,29,53,20,717,792,90
90,3,46,10,649,693,90
91,40,64,10,0,51,90
92,73,55,30,501,538,90
93,24,31,10,780,844,90
94,21,87,20,533,599,90
95,48,65,10,940,1001,90
96,22,48,10,300,359,90
97,51,33,10,415,467,90
98,33,65,20,272,339,90
99,36,56,10,0,57,90
100,5,33,10,728,789,90
101,66,65,30,612,679,90
102,42,1,20,633,715,90
103,39,3,30,401,454,90
104,52,93,20,694,769,90
105,20,79,40,468,518,90
106,35,64,10,448,507,90
107,63,54,20,579,628,90
108,42,6,40,178,240,90
109,43,13,40,850,896,90
110,22,50,10,340,382,90
111,59,81,20,202,247,90
112,30,54,20,558,613,90
113,28,28,10,670,735,90
114,0,45,30,509,551,90
115,46,16,10,724,791,90
116,44,73,20,132,197,90
117,34,43,10,473,537,90
118,50,39,10,884,950,90
119,39,12,20,239,315,90
120,11,37,20,584,636,90
121,48,29,10,632,694,90
122,90,42,10,349,401,90
123,61,50,10,789,863,90
124,37,8,40,199,275,90
125,10,50,10,241,282,90
126,75,53,20,344,399,90
127,81,42,30,13,92,90
128,24,38,10,985,1044,90
129,21,20,10,460,523,90
130,97,27,10,287,357,90
131,6,25,20,236,277,90
132,36,66,20,9,68,90
133,31,22,20,94,176,90
134,32,28,10,413,466,90
135,62,55,30,80,134,90
136,31,25,10,528,591,90
137,57,78,10,76,148,90
138,43,62,10,86,164,90
139,23,70,20,419,470,90
140,52,28,10,1073,1123,90
141,46,45,10,99,152,90
142,29,3,20,533,597,90
143,26,30,10,1038,1120,90
144,49,29,10,56,107,90
145,47,19,10,61,117,90
146,40,30,20,38,119,90
147,16,87,40,482,536,90
148,35,64,10,330,385,90
149,11,44,40,115,190,90
150,62,83,30,558,627,90
