CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,40,50,0,0,1236,0
2,0,38,40,108,174,90
3,43,46,10,29,96,90
4,37,0,30,367,414,90
5,30,28,10,373,435,90
6,62,64,30,677,748,90
7,36,16,10,612,694,90
8,90,32,10,214,268,90
9,26,54,20,825,893,90
10,47,63,20,1065,1130,90
11,66,57,20,112,164,90
12,45,35,10,806,856,90
13,93,27,10,455,530,90
14,25,73,10,375,424,90
15,21,72,20,117,152,90
16,31,34,10,584,642,90
17,54,79,20,687,765,90
18,41,71,30,891,934,90
19,35,26,40,21,58,90
20,11,38,40,46,123,90
21,11,47,20,763,818,90
22,57,61,10,816,867,90
23,0,50,20,738,797,90
24,35,37,10,1062,1127,90
25,63,75,30,185,215,90
26,44,33,10,733,782,90
27,72,59,10,230,298,90
28,20,84,10,617,668,90
29,60,28,20,236,293,90
30,13,37,20,158,188,90
31,21,32,10,912,954,90
32,30,30,10,555,622,90
33,48,75,30,321,362,90
34,62,77,10,132,192,90
35,2,38,10,285,340,90
36,60,95,30,803,869,90
37,27,85,10,600,664,90
38,62,52,10,142,203,90
39,57,57,10,886,948,90
40,70,86,20,442,517,90
41,49,35,50,577,627,90
42,42,32,10,898,958,90
43,65,81,20,367,427,90
44,32,34,10,1076,1146,90
45,27,38,10,30,101,90
46,42,37,10,223,266,90
47,95,37,20,44,95,90
48,32,35,10,997,1060,90
49,57,53,10,764,805,90
50,21,71,40,401,439,90
51,18,90,40,528,589,90
52,40,0,30,454,502,90
53,22,58,10,441,508,90
54,11,40,40,124,192,90
55,88,31,10,618,697,90
56,21,50,10,28,73,90
57,74,56,10,209,267,90
58,64,91,30,167,219,90
59,53,38,50,376,452,90
60,29,35,10,577,632,90
61,47,37,10,938,981,90
62,94,33,20,355,413,90
63,15,75,20,179,255,90
64,51,33,10,436,518,90
65,82,57,20,876,933,90
66,64,84,30,494,556,90
67,24,54,10,621,685,90
68,38,67,10,139,197,90
69,24,78,20,134,186,90
70,1,42,20,338,389,90
71,36,14,10,610,704,90
72,48,43,10,26,106,90
73,39,5,30,411,461,90
74,59,81,20,554,634,90
75,46,30,20,782,836,90
76,19,80,20,116,182,90
77,61,61,30,536,588,90
78,89,41,20,488,552,90
79,40,16,40,43,88,90
80,31,50,20,979,1029,90
81,37,66,10,137,186,90
82,21,53,10,371,419,90
83,22,55,10,257,313,90
84,60,59,30,549,620,90
85,69,50,10,114,190,90
86,17,52,10,437,492,90
87,3,37,40,102,180,90
88,39,67,10,340,405,90
89,24,51,10,63,141,90
90,25,50,10,21,90,90
91,54,32,10,649,728,90
92,40,14,40,49,100,90
93,9,53,10,661,702,90
94,4,30,10,227,285,90
95,52,86,20,631,707,90
96,37,35,10,206,267,90
97,24,57,20,855,924,90
98,36,57,10,438,491,90
99,16,85,10,619,678,90
100,9,41,40,89,176,90
101,45,71,30,845,886,90
102,19,74,30,22,83,90
103,22,56,40,214,262,90
104,51,42,10,81,129,90
105,32,32,10,258,319,90
106,48,14,40,279,338,90
107,34,62,10,371,408,90
108,43,70,30,842,888,90
109,8,41,30,97,157,90
110,20,78,10,247,308,90
111,83,28,20,119,178,90
112,65,54,30,682,732,90
113,69,80,10,241,295,90
114,38,20,10,662,755,90
115,27,50,40,664,724,90
116,39,64,10,234,306,90
117,87,37,30,41,120,90
118,91,28,10,988,1062,90
119,40,10,30,425,478,90
120,39,8,40,186,251,90
121,45,73,30,826,869,90
122,43,32,10,1011,1069,90
123,72,49,10,233,318,90
124,18,74,20,95,147,90
125,31,35,10,1042,1109,90
126,29,37,10,97,166,90
127,71,55,20,1042,1082,90
128,49,33,20,284,326,90
129,86,32,10,691,753,90
130,22,48,10,344,400,90
131,68,88,20,338,402,90
132,62,83,40,465,508,90
133,28,27,10,256,296,90
134,0,51,20,106,168,90
135,39,11,40,587,637,90
136,77,57,20,392,441,90
137,18,60,20,486,533,90
138,87,36,10,551,620,90
139,41,12,10,161,224,90
140,66,59,20,89,145,90
141,58,76,40,427,473,90
142,20,59,10,417,470,90
143,39,11,40,391,455,90
144,33,0,30,439,510,90
145,41,0,20,239,301,90
146,51,35,50,333,394,90
147,21,48,10,373,419,90
148,41,8,40,643,711,90
149,69,61,10,129,200,90
150,44,28,10,801,831,90
151,0,39,20,550,608,90
152,40,0,30,389,437,90
153,38,63,20,282,370,90
154,23,28,10,815,898,90
155,72,52,20,370,439,90
156,42,33,10,290,345,90
157,68,83,10,285,339,90
158,45,34,20,936,994,90
159,15,42,40,62,124,90
160,53,38,20,293,357,90
161,90,28,10,438,495,90
162,23,54,20,518,564,90
163,49,42,50,190,224,90
164,26,51,40,169,214,90
165,37,53,20,938,991,90
166,41,32,10,812,850,90
167,37,61,10,729,788,90
168,33,64,10,476,552,90
169,41,66,20,651,734,90
170,52,34,20,236,298,90
171,71,65,30,684,748,90
172,28,33,10,969,1046,90
173,47,1,20,295,350,90
174,63,56,10,159,234,90
175,31,36,10,14,81,90
176,49,26,10,640,701,90
177,63,62,10,881,934,90
178,61,54,10,778,840,90
179,27,30,10,610,669,90
180,18,54,20,890,940,90
181,27,27,10,550,611,90
182,90,36,20,94,157,90
183,15,80,20,165,242,90
184,37,28,10,792,826,90
185,4,43,20,731,796,90
186,76,56,20,319,359,90
187,48,36,10,54,119,90
188,21,58,40,121,182,90
189,62,84,10,291,340,90
190,16,83,10,541,585,90
191,67,64,20,337,387,90
192,44,64,20,1026,1099,90
193,35,30,10,221,269,90
194,33,28,10,0,69,90
195,27,57,20,876,927,90
196,39,69,20,161,212,90
197,44,0,20,274,335,90
198,13,32,10,294,354,90
199,19,75,30,61,122,90
200,43,40,10,10,68,90
201,45,33,10,118,167,90
202,34,70,10,751,811,90
203,81,24,10,800,833,90
204,99,30,30,433,507,90
205,64,80,10,325,377,90
206,29,50,10,15,86,90
207,0,46,10,352,411,90
208,60,56,20,447,527,90
209,27,31,10,826,892,90
210,96,31,20,103,159,90
211,84,39,30,69,148,90
212,25,82,20,661,735,90
213,71,54,10,232,299,90
214,55,73,30,208,252,90
215,29,77,20,683,761,90
216,66,85,20,388,447,90
217,58,56,10,702,770,90
218,22,47,10,243,309,90
219,56,37,50,195,248,90
220,42,53,10,353,406,90
221,31,60,10,353,401,90
222,32,79,10,530,593,90
223,58,88,30,563,613,90
224,51,31,10,626,692,90
225,69,89,20,360,444,90
226,31,66,10,366,419,90
227,31,30,10,1032,1094,90
228,25,66,10,725,784,90
229,24,56,20,567,604,90
230,14,84,40,401,465,90
231,49,32,10,775,835,90
232,54,33,20,293,353,90
233,31,34,10,2,70,90
234,38,34,10,905,973,90
235,17,77,10,550,609,90
236,22,69,30,81,148,90
237,25,58,10,542,609,90
238,48,43,10,328,396,90
239,38,64,10,389,451,90
240,24,31,10,689,763,90
241,26,55,10,1100,1144,90
242,48,64,10,926,978,90
243,47,31,10,665,721,90
244,30,31,10,725,800,90
245,69,82,10,290,334,90
246,70,85,40,484,542,90
247,32,69,10,394,459,90
248,65,87,30,198,253,90
249,99,34,10,198,263,90
250,4,45,20,566,620,90
251,92,27,10,639,690,90
252,97,29,30,390,465,90
253,70,56,10,143,210,90
254,85,32,30,723,795,90
255,29,48,10,82,162,90
256,57,59,10,863,915,90
257,29,85,20,563,629,90
258,31,37,10,39,105,90
259,49,40,10,107,166,90
260,46,35,10,610,685,90
261,81,54,20,435,482,90
262,24,58,10,671,723,90
263,75,55,10,249,330,90
264,40,73,10,516,593,90
265,50,34,10,1021,1071,90
266,25,26,10,673,727,90
267,29,57,10,71,144,90
268,24,40,10,52,110,90
269,28,55,10,682,770,90
270,30,4,40,154,224,90
271,41,33,10,266,330,90
272,33,75,10,420,473,90
273,31,65,10,383,431,90
274,19,54,10,740,786,90
275,66,88,40,509,559,90
276,22,91,10,494,535,90
277,38,74,30,834,868,90
278,47,73,10,696,754,90
279,46,48,10,0,73,90
280,25,59,10,1032,1101,90
281,33,0,20,582,645,90
282,48,33,10,631,692,90
283,29,38,10,324,388,90
284,54,82,20,629,714,90
285,61,83,10,778,850,90
286,87,40,30,570,654,90
287,36,31,10,299,362,90
288,38,67,10,906,954,90
289,39,62,10,731,790,90
290,25,48,20,872,942,90
291,21,59,10,549,602,90
292,1,46,10,635,697,90
293,52,83,20,738,826,90
294,41,30,10,232,290,90
295,91,42,20,97,162,90
296,88,36,10,243,300,90
297,26,33,10,1063,1138,90
298,72,59,10,267,343,90
299,37,30,10,409,459,90
300,38,25,10,46,109,90
301,89,49,20,490,553,90
302,36,2,20,598,664,90
303,85,36,10,529,589,90
304,44,5,30,499,542,90
305,17,51,10,359,402,90
306,86,39,20,844,906,90
307,67,60,10,703,756,90
308,56,84,10,85,137,90
309,33,7,20,516,585,90
310,33,9,20,606,678,90
311,23,44,10,899,972,90
312,68,85,40,470,516,90
313,10,79,20,211,283,90
314,83,27,10,647,703,90
315,30,38,10,1030,1121,90
316,93,28,10,668,724,90
317,42,6,30,582,644,90
318,50,63,20,996,1073,90
319,30,35,10,0,69,90
320,56,31,50,598,652,90
321,91,35,10,538,584,90
322,37,62,10,477,528,90
323,42,0,30,465,535,90
324,97,27,10,30,106,90
325,71,79,10,303,354,90
326,54,26,10,433,492,90
327,71,88,40,517,570,90
328,41,74,20,710,796,90
329,44,67,20,242,305,90
330,2,41,30,488,525,90
331,25,74,40,477,520,90
332,61,78,10,175,244,90
333,41,70,10,0,39,90
334,43,35,10,34,95,90
335,26,28,10,585,655,90
336,27,33,10,618,681,90
337,56,90,30,537,591,90
338,32,28,10,171,231,90
339,53,36,50,209,270,90
340,0,45,30,517,552,90
341,31,25,10,160,218,90
342,19,76,10,271,335,90
343,28,60,20,490,535,90
344,2,43,20,582,633,90
345,9,39,20,788,852,90
346,93,34,20,1040,1116,90
347,23,79,30,0,57,90
348,84,38,30,81,173,90
349,26,57,10,612,692,90
350,36,74,20,657,749,90
351,32,62,10,363,437,90
352,44,65,10,44,109,90
353,27,42,10,534,597,90
354,0,39,10,300,358,90
355,91,26,10,681,742,90
356,62,78,10,345,385,90
357,28,38,20,55,145,90
358,33,35,30,1022,1089,90
359,37,53,10,0,56,90
360,72,55,20,100,160,90
361,41,10,30,393,450,90
362,40,67,10,946,1002,90
363,37,2,20,580,627,90
364,45,65,20,142,206,90
365,70,83,30,176,213,90
366,47,8,40,781,852,90
367,44,81,20,683,770,90
368,33,38,10,19,86,90
369,46,67,10,911,972,90
370,59,78,10,747,831,90
371,34,31,10,702,755,90
372,97,34,30,371,441,90
373,12,39,10,656,725,90
374,45,34,10,893,940,90
375,7,37,10,322,380,90
376,43,1,20,302,364,90
377,25,31,10,380,428,90
378,71,65,30,501,558,90
379,39,65,10,401,446,90
380,30,53,10,146,200,90
381,13,42,40,89,164,90
382,37,16,10,83,141,90
383,51,33,10,861,912,90
384,34,4,20,537,617,90
385,24,52,20,921,978,90
386,26,79,20,724,810,90
387,21,59,10,680,725,90
388,5,42,10,228,283,90
389,70,56,10,774,829,90
390,22,55,10,22,101,90
391,59,81,10,285,339,90
392,59,73,30,170,211,90
393,44,56,10,397,482,90
394,71,53,10,255,323,90
395,22,37,10,839,898,90
396,54,28,50,720,771,90
397,20,51,20,516,562,90
398,0,40,30,502,544,90
399,65,66,30,706,779,90
400,0,43,20,532,587,90
401,57,66,10,778,835,90
402,33,37,20,87,171,90
403,88,31,10,600,665,90
404,29,30,10,692,750,90
405,54,29,10,613,681,90
406,10,44,20,803,875,90
407,66,84,30,583,636,90
408,34,25,10,739,783,90
409,21,55,10,624,705,90
410,65,87,40,479,522,90
411,64,52,20,96,162,90
412,47,19,10,442,497,90
413,69,61,30,632,699,90
414,96,19,30,880,953,90
415,88,28,10,697,752,90
416,93,26,10,510,589,90
417,51,37,10,31,103,90
418,20,82,40,370,412,90
419,90,27,10,324,384,90
420,87,26,10,736,801,90
421,92,36,10,1007,1070,90
422,28,31,10,536,602,90
423,62,88,20,403,473,90
424,63,88,30,46,91,90
425,87,32,10,675,728,90
426,29,48,20,963,1023,90
427,56,62,10,805,859,90
428,13,53,10,331,371,90
429,41,59,20,170,207,90
430,62,88,30,570,641,90
431,3,44,10,717,775,90
432,40,65,20,660,736,90
433,0,47,20,297,365,90
434,15,84,20,161,243,90
435,26,50,10,339,396,90
436,39,24,10,647,734,90
437,45,39,10,55,104,90
438,7,33,20,268,302,90
439,47,18,10,145,197,90
440,18,88,10,583,636,90
441,40,68,10,324,372,90
442,32,39,10,1057,1120,90
443,93,30,30,448,518,90
444,76,61,20,393,457,90
445,59,54,10,67,135,90
446,21,82,40,457,514,90
447,26,57,10,670,718,90
448,36,62,10,793,866,90
449,56,31,50,1031,1072,90
450,45,63,10,892,951,90
451,86,37,10,668,712,90
452,24,85,20,641,708,90
453,50,38,10,694,756,90
454,57,68,20,907,975,90
455,61,78,30,180,215,90
456,31,51,10,431,496,90
457,13,79,10,304,366,90
458,36,50,20,942,977,90
459,48,74,30,865,913,90
460,76,56,20,410,475,90
461,19,80,30,44,110,90
462,27,57,20,398,444,90
463,39,11,30,405,452,90
464,75,61,20,944,994,90
465,38,13,10,442,550,90
466,46,40,10,1045,1108,90
467,45,42,10,335,402,90
468,89,35,10,534,598,90
469,29,45,10,33,91,90
470,46,73,30,772,828,90
471,14,59,10,463,533,90
472,3,43,20,373,430,90
473,45,8,30,541,594,90
474,38,67,10,695,753,90
475,90,35,10,187,228,90
476,20,81,10,940,998,90
477,53,8,20,275,344,90
478,54,66,10,911,986,90
479,45,46,10,39,89,90
480,87,32,30,105,189,90
481,19,67,20,158,204,90
482,90,30,20,112,170,90
483,0,36,30,60,97,90
484,83,31,10,684,743,90
485,56,53,10,57,111,90
486,44,71,10,742,784,90
487,38,8,40,184,251,90
488,25,53,20,841,905,90
489,47,68,30,740,800,90
490,0,36,10,327,383,90
491,65,56,10,116,179,90
492,63,93,40,1077,1117,90
493,42,37,10,0,61,90
494,22,39,30,99,181,90
495,67,90,40,504,546,90
496,33,34,10,953,1029,90
497,8,42,30,219,297,90
498,44,61,20,833,927,90
499,94,24,10,444,518,90
500,0,47,20,373,421,90
501,43,6,40,1029,1106,90
502,40,70,10,415,477,90
503,0,36,30,1048,1094,90
504,36,15,10,652,738,90
505,27,87,40,429,489,90
506,30,50,10,586,655,90
507,28,50,10,276,326,90
508,59,52,10,0,62,90
509,53,33,20,296,355,90
510,38,44,10,62,131,90
511,31,48,20,933,974,90
512,38,9,40,106,161,90
513,4,33,10,293,372,90
514,56,53,10,34,100,90
515,55,33,50,372,438,90
516,41,76,10,739,806,90
517,16,47,10,311,367,90
518,29,56,10,816,864,90
519,43,1,30,144,193,90
520,21,33,10,936,995,90
521,53,31,10,581,658,90
522,53,64,10,839,906,90
523,54,33,10,29,77,90
524,25,55,10,460,528,90
525,29,26,10,523,576,90
526,64,62,20,473,541,90
527,4,39,20,388,431,90
528,87,33,30,501,570,90
529,37,14,10,639,716,90
530,17,71,20,214,305,90
531,31,32,20,84,166,90
532,34,11,10,39,101,90
533,95,29,30,371,453,90
534,48,39,50,332,391,90
535,51,21,10,168,207,90
536,50,81,10,767,847,90
537,71,52,20,453,512,90
538,32,28,10,440,498,90
539,15,38,20,279,309,90
540,35,70,20,965,1032,90
541,49,69,30,44,82,90
542,67,53,20,860,922,90
543,43,39,10,934,989,90
544,27,26,10,767,834,90
545,59,28,10,157,202,90
546,24,48,20,913,961,90
547,23,55,20,564,595,90
548,56,23,10,425,493,90
549,90,31,10,1059,1097,90
550,65,55,30,569,630,90
551,84,33,20,91,151,90
552,87,38,20,1035,1086,90
553,40,16,40,71,126,90
554,83,35,20,86,141,90
555,26,75,30,117,193,90
556,64,62,10,212,273,90
557,49,36,10,824,875,90
558,74,53,20,372,409,90
559,55,35,50,355,417,90
560,44,21,10,480,519,90
561,19,86,20,98,135,90
562,32,35,10,1084,1146,90
563,57,83,10,740,814,90
564,29,27,10,513,578,90
565,51,87,30,568,638,90
566,68,80,40,504,553,90
567,24,74,10,185,240,90
568,65,86,40,460,508,90
569,0,45,20,498,537,90
570,20,79,40,401,452,90
571,41,68,10,37,113,90
572,18,83,40,415,460,90
573,51,71,10,911,965,90
574,3,39,30,477,514,90
575,24,35,10,937,996,90
576,59,88,40,416,461,90
577,18,51,10,444,492,90
578,89,33,10,182,244,90
579,50,43,10,0,72,90
580,28,51,10,19,83,90
581,42,59,10,75,150,90
582,64,87,10,367,410,90
583,67,61,20,500,563,90
584,60,90,30,588,637,90
585,55,29,10,438,490,90
586,39,15,10,632,734,90
587,24,60,20,845,905,90
588,20,57,10,883,949,90
589,36,74,10,1028,1087,90
590,60,87,30,266,318,90
591,54,30,10,555,640,90
592,69,55,30,695,770,90
593,26,31,10,1069,1146,90
594,52,39,10,569,628,90
595,14,39,20,216,260,90
596,34,15,10,575,659,90
597,23,27,10,799,868,90
598,51,28,10,534,604,90
599,36,9,30,414,475,90
600,87,27,10,730,782,90
601,10,47,30,39,122,90
602,24,53,10,432,476,90
603,60,59,10,760,832,90
604,16,71,20,233,307,90
605,19,51,20,776,841,90
606,62,61,10,850,917,90
607,0,42,20,330,379,90
608,66,82,10,273,340,90
609,34,27,10,480,537,90
610,13,42,30,0,76,90
611,34,75,10,579,672,90
612,40,12,40,194,275,90
613,39,59,20,140,193,90
614,30,26,10,687,770,90
615,23,79,30,117,176,90
616,43,59,10,929,976,90
617,48,10,40,516,581,90
618,36,15,10,964,1025,90
619,21,77,40,320,370,90
620,36,5,30,415,466,90
621,36,68,10,492,552,90
622,47,34,10,528,620,90
623,33,30,10,657,706,90
624,21,52,10,489,548,90
625,28,40,10,660,729,90
626,13,79,20,191,281,90
627,68,78,10,90,152,90
628,54,33,10,578,656,90
629,34,0,30,494,560,90
630,64,82,30,505,551,90
631,45,3,20,343,401,90
632,88,31,10,662,724,90
633,15,83,10,301,352,90
634,35,68,10,450,493,90
635,44,62,10,29,83,90
636,26,84,40,342,401,90
637,56,75,30,195,239,90
638,93,33,20,87,138,90
639,55,26,10,92,149,90
640,74,56,10,236,307,90
641,36,1,20,547,615,90
642,19,57,10,420,483,90
643,39,15,10,83,140,90
644,63,56,10,767,817,90
645,28,36,10,131,190,90
646,57,35,10,606,673,90
647,57,69,20,31,79,90
648,66,60,30,347,417,90
649,9,76,10,273,343,90
650,85,38,30,19,111,90
651,43,23,40,21,80,90
652,47,33,10,637,707,90
653,18,89,40,550,596,90
654,32,36,10,1010,1060,90
655,14,81,40,358,415,90
656,22,51,10,273,316,90
657,11,71,20,162,258,90
658,50,42,10,312,384,90
659,42,65,20,255,324,90
660,19,85,40,526,584,90
661,39,17,10,627,708,90
662,84,28,10,755,811,90
663,32,44,10,0,62,90
664,39,15,40,57,118,90
665,12,48,10,649,701,90
666,64,80,10,79,120,90
667,62,82,20,426,512,90
668,40,8,40,554,603,90
669,44,5,20,281,344,90
670,57,50,10,791,854,90
671,40,61,10,165,225,90
672,20,33,10,955,1005,90
673,0,42,20,564,613,90
674,35,51,40,715,767,90
675,90,41,30,159,241,90
676,26,37,10,37,92,90
677,67,65,10,887,938,90
678,46,73,30,182,220,90
679,28,62,10,728,791,90
680,21,59,10,437,499,90
681,59,42,50,343,394,90
682,26,51,10,687,758,90
683,45,11,40,185,246,90
684,26,34,10,1038,1126,90
685,81,40,20,144,216,90
686,36,36,10,270,366,90
687,44,85,20,648,719,90
688,43,26,10,729,771,90
689,38,69,20,377,462,90
690,24,57,10,291,360,90
691,67,59,30,676,743,90
692,40,63,10,0,57,90
693,32,45,20,563,601,90
694,0,46,20,312,356,90
695,85,28,10,787,830,90
