CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,40,50,0,0,1236,0
2,31,23,10,385,442,90
3,59,54,10,38,101,90
4,64,57,10,160,226,90
5,49,32,10,742,798,90
6,74,54,10,246,317,90
7,93,34,10,204,250,90
8,39,8,40,156,228,90
9,87,34,10,725,799,90
10,0,50,20,533,609,90
11,48,67,10,701,760,90
12,0,49,20,561,622,90
13,87,36,30,20,78,90
14,27,32,10,0,54,90
15,52,68,30,807,856,90
16,24,51,10,881,961,90
17,30,72,30,1026,1090,90
18,41,73,20,636,684,90
19,19,81,20,697,754,90
20,36,38,10,120,179,90
21,74,52,10,473,556,90
22,17,55,40,195,257,90
23,22,47,10,324,364,90
24,7,50,10,692,743,90
25,46,33,10,840,874,90
26,3,35,20,216,259,90
27,91,27,10,794,845,90
28,27,47,20,797,861,90
29,64,80,30,240,288,90
30,20,54,20,567,612,90
31,1,44,30,434,490,90
32,52,38,50,385,444,90
33,96,35,20,1011,1101,90
34,27,28,10,805,864,90
35,52,34,20,310,383,90
36,61,55,10,120,180,90
37,38,6,30,433,474,90
38,25,68,30,2,59,90
39,42,31,10,88,134,90
40,0,45,30,484,531,90
41,74,58,10,240,298,90
42,53,86,20,311,393,90
43,34,9,20,507,568,90
44,35,6,30,522,578,90
45,63,79,10,99,165,90
46,45,9,40,225,310,90
47,31,7,30,123,180,90
48,10,76,20,147,214,90
49,100,25,10,462,537,90
50,69,52,10,0,66,90
51,57,54,20,79,139,90
52,50,36,10,906,962,90
53,26,31,10,710,768,90
54,47,32,10,12,77,90
55,36,64,20,666,736,90
56,36,60,10,300,355,90
57,68,84,20,388,456,90
58,23,83,20,635,709,90
59,31,34,10,152,207,90
60,38,14,10,668,763,90
61,21,56,10,619,708,90
62,68,55,20,609,654,90
63,42,28,10,963,1004,90
64,30,32,10,931,987,90
65,40,68,20,609,693,90
66,20,78,30,18,92,90
67,21,57,10,313,355,90
68,48,65,30,186,242,90
69,25,51,20,571,635,90
70,55,77,10,330,393,90
71,64,58,20,463,521,90
72,46,33,10,524,589,90
73,19,78,30,24,74,90
74,45,58,10,56,137,90
75,28,31,10,652,715,90
76,55,81,20,615,693,90
77,44,66,20,1022,1091,90
78,27,60,10,694,724,90
79,21,79,20,591,649,90
80,57,59,30,674,729,90
81,34,9,30,356,404,90
82,90,28,30,364,436,90
83,48,28,10,513,585,90
84,22,34,10,1058,1146,90
85,41,71,10,599,658,90
86,42,66,20,193,241,90
87,25,72,30,21,95,90
88,86,25,10,652,710,90
89,21,54,20,518,570,90
90,21,89,40,488,539,90
91,39,9,30,399,453,90
92,82,32,20,98,151,90
93,54,30,20,318,378,90
94,51,34,10,826,871,90
95,50,28,10,583,662,90
96,55,29,10,372,446,90
97,69,56,30,562,615,90
98,82,36,30,47,124,90
99,43,70,10,472,532,90
100,29,49,10,430,498,90
101,69,93,20,388,463,90
102,71,58,20,1018,1089,90
103,74,63,30,591,659,90
104,50,41,50,190,240,90
105,69,53,20,470,527,90
106,65,57,10,88,166,90
107,87,31,10,492,561,90
108,29,50,20,943,1012,90
109,62,80,20,680,755,90
110,51,17,10,145,221,90
111,50,30,20,295,340,90
112,44,22,10,138,200,90
113,48,76,10,949,995,90
114,61,78,20,32,74,90
115,45,37,10,0,67,90
116,69,58,20,1055,1128,90
117,33,33,20,100,172,90
118,31,7,20,572,641,90
119,29,36,10,560,592,90
120,47,68,10,515,586,90
121,65,62,10,807,872,90
122,28,16,10,684,764,90
123,45,69,20,184,256,90
124,60,72,20,0,58,90
125,0,41,20,738,792,90
126,31,42,10,0,52,90
127,3,41,20,339,395,90
128,63,59,10,182,237,90
129,67,55,10,144,212,90
130,37,30,20,145,232,90
131,45,21,40,73,113,90
132,36,64,10,349,412,90
133,46,35,10,984,1033,90
134,43,0,20,304,355,90
135,39,6,30,332,377,90
136,37,66,20,184,239,90
137,63,65,10,789,846,90
138,62,88,30,925,970,90
139,85,31,10,135,206,90
140,49,37,10,79,144,90
141,37,5,30,152,201,90
142,55,77,20,34,91,90
143,36,17,40,922,984,90
144,43,40,10,31,73,90
145,7,41,20,691,731,90
146,23,49,10,22,97,90
147,90,33,10,239,305,90
148,49,37,10,768,811,90
149,20,48,10,1098,1141,90
150,26,29,10,748,820,90
151,43,14,10,28,89,90
152,0,32,10,440,506,90
153,67,88,10,212,259,90
154,13,32,30,12,82,90
155,39,60,10,376,431,90
156,89,27,10,29,103,90
157,35,58,10,500,567,90
158,45,75,30,817,865,90
159,100,36,20,166,231,90
160,37,9,10,640,737,90
161,58,89,30,549,625,90
162,41,69,10,240,317,90
163,35,59,10,95,180,90
164,29,36,30,495,555,90
165,40,38,10,697,745,90
166,0,48,20,528,596,90
167,34,36,10,306,356,90
168,3,33,40,89,156,90
169,28,37,10,529,590,90
170,35,51,20,822,891,90
171,70,54,20,413,459,90
172,34,36,20,93,171,90
173,23,62,10,478,543,90
174,4,45,20,342,397,90
175,3,44,10,693,736,90
176,66,53,20,379,422,90
177,61,82,30,97,155,90
178,56,36,50,359,413,90
179,84,34,30,0,77,90
180,94,36,10,705,774,90
181,20,71,20,236,266,90
182,32,36,20,105,194,90
183,0,40,20,397,453,90
184,18,31,10,726,786,90
185,26,32,10,1063,1133,90
186,46,34,20,234,295,90
187,35,45,10,0,75,90
188,30,65,10,881,939,90
189,23,80,10,280,326,90
190,76,56,10,244,320,90
191,0,40,30,470,505,90
192,63,54,10,330,395,90
193,60,84,20,343,407,90
194,71,55,10,222,304,90
195,27,52,20,611,654,90
196,18,89,10,573,632,90
197,32,35,10,0,83,90
198,63,60,20,151,200,90
199,26,11,20,569,635,90
200,26,28,10,520,590,90
201,11,71,20,55,115,90
202,81,37,30,66,139,90
203,64,56,10,841,896,90
204,50,33,20,288,342,90
205,33,15,40,66,127,90
206,46,12,40,206,268,90
207,29,56,20,554,591,90
208,67,52,10,166,226,90
209,23,55,10,615,685,90
210,31,32,10,118,177,90
211,20,51,10,291,329,90
212,43,28,20,957,1013,90
213,30,29,10,838,905,90
214,25,75,30,777,838,90
