item,price,weight,sol
1,58,213,0
2,980,613,0
3,103,776,0
4,675,668,0
5,859,10,0
6,626,699,0
7,81,972,0
8,308,335,0
9,260,275,0
10,536,923,0
11,665,388,0
12,764,962,0
13,853,390,0
14,347,564,0
15,503,720,0
16,509,300,0
17,827,798,0
18,466,865,0
19,770,21,0
20,115,405,0
21,492,840,0
22,993,671,0
23,201,886,0
24,126,16,0
25,432,188,0
26,145,808,0
27,541,502,0
28,555,329,0
29,108,997,0
30,438,462,0
31,115,405,0
32,971,323,0
33,764,487,0
34,284,608,0
35,164,407,0
36,116,277,0
37,626,699,0
38,289,486,0
39,887,939,0
40,291,836,0
41,181,88,0
42,954,26,0
43,685,922,0
44,574,315,0
45,539,719,0
46,296,975,0
47,523,291,0
48,764,98,0
49,342,958,0
50,203,990,0
51,954,26,0
52,324,330,0
53,821,894,0
54,407,840,0
55,501,306,0
56,131,433,0
57,888,40,0
58,889,725,0
59,181,247,0
60,364,964,0
61,642,983,0
62,878,293,0
63,917,490,0
64,709,719,0
65,772,902,0
66,918,564,0
67,394,190,0
68,993,671,0
69,726,98,0
70,639,975,0
71,395,153,0
72,500,294,0
73,843,224,0
74,466,865,0
75,867,606,0
76,60,327,0
77,957,564,0
78,971,323,0
79,195,801,0
80,128,15,0
81,640,622,0
82,431,919,0
83,891,859,0
84,49,952,0
85,980,343,0
86,685,922,0
87,724,29,0
88,153,196,0
89,14,521,0
90,49,952,0
91,345,525,0
92,931,315,0
93,725,647,0
94,516,906,0
95,176,288,0
96,376,143,0
97,747,862,0
98,364,964,0
99,9,916,0
100,849,651,0
101,49,952,0
102,224,790,0
103,931,315,0
104,992,421,0
105,692,400,0
106,509,300,0
107,432,188,0
108,80,146,0
109,852,401,0
110,113,910,0
111,887,939,0
112,432,188,0
113,284,608,0
114,388,596,0
115,80,706,0
116,410,710,0
117,994,367,0
118,849,651,0
119,934,881,0
120,824,724,0
121,675,668,0
122,128,15,0
123,103,776,0
124,852,401,0
125,82,165,0
126,195,801,0
127,487,600,0
128,446,26,0
129,112,50,0
130,486,179,0
131,195,801,0
132,858,940,0
133,303,748,0
134,850,590,0
135,395,153,0
136,406,66,0
137,719,860,0
138,544,574,0
139,558,159,0
140,431,919,0
141,570,881,0
142,804,956,0
143,887,939,0
144,726,612,0
145,810,313,0
146,282,8,0
147,766,882,0
148,91,109,0
149,219,212,0
150,196,529,0
151,82,165,0
152,930,785,0
153,568,393,0
154,889,28,0
155,345,525,0
156,779,853,0
157,401,196,0
158,711,990,0
159,80,706,0
160,129,963,0
161,123,334,0
162,80,146,0
163,726,612,0
164,954,576,0
165,750,973,0
166,297,780,0
167,838,487,0
168,214,179,0
169,576,793,0
170,359,901,0
171,641,46,0
172,303,748,0
173,710,321,0
174,882,798,0
175,308,335,0
176,764,307,0
177,503,720,0
178,891,859,0
179,136,902,0
180,492,840,0
181,856,71,0
182,286,992,0
183,501,306,0
184,308,335,0
185,163,987,0
186,916,605,0
187,214,179,0
188,256,472,0
189,747,862,0
190,160,347,0
191,364,964,0
192,291,836,0
193,97,95,0
194,739,689,0
195,79,88,0
196,943,895,0
197,86,711,0
198,711,988,0
199,377,859,0
200,961,157,0
201,917,490,0
202,42,908,0
203,163,987,0
204,430,101,0
205,772,685,0
206,48,308,0
207,446,26,0
208,147,271,0
209,583,707,0
210,203,990,0
211,970,359,0
212,503,720,0
213,237,822,0
214,420,457,0
215,938,897,0
216,20,311,0
217,487,600,0
218,724,29,0
219,916,605,0
220,128,567,0
221,401,196,0
222,261,279,0
223,113,910,0
224,97,826,0
225,7,759,0
226,159,391,0
227,389,324,0
228,754,156,0
229,888,40,0
230,356,192,0
231,843,224,0
232,319,496,0
233,422,252,0
234,954,26,0
235,972,863,0
236,766,976,0
237,71,97,0
238,859,10,0
239,204,295,0
240,413,459,0
241,113,123,0
242,225,86,0
243,536,923,0
244,742,811,0
245,980,343,0
246,81,972,0
247,20,665,0
248,943,411,0
249,509,300,0
250,633,299,0
251,682,261,0
252,972,863,0
253,500,294,0
254,232,135,0
255,779,853,0
256,361,508,0
257,342,958,0
258,142,554,0
259,419,846,0
260,569,723,0
261,838,277,0
262,472,619,0
263,338,348,0
264,335,179,0
265,931,52,0
266,458,936,0
267,916,605,0
268,558,159,0
269,286,821,0
270,194,868,0
271,443,61,0
272,359,901,0
273,686,642,0
274,79,88,0
275,327,703,0
276,93,793,0
277,407,840,0
278,129,963,0
279,908,97,0
280,513,267,0
281,609,100,0
282,136,733,0
283,941,965,0
284,102,16,0
285,833,527,0
286,167,596,0
287,891,859,0
288,664,386,0
289,832,277,0
290,542,91,0
291,396,813,0
292,930,770,0
293,952,64,0
294,957,564,0
295,108,997,0
296,489,561,0
297,45,814,0
298,675,668,0
299,241,989,0
300,791,9,0
301,821,894,0
302,289,486,0
303,649,322,0
304,737,600,0
305,832,277,0
306,113,123,0
307,406,66,0
308,284,608,0
309,425,449,0
310,196,710,0
311,80,146,0
312,227,512,0
313,711,988,0
314,930,785,0
315,770,10,0
316,35,718,0
317,542,785,0
318,182,648,0
319,856,71,0
320,657,301,0
321,838,487,0
322,641,46,0
323,492,587,0
324,568,393,0
325,764,962,0
326,197,116,0
327,126,343,0
328,994,367,0
329,113,123,0
330,284,608,0
331,888,40,0
332,993,671,0
333,204,295,0
334,798,485,0
335,764,307,0
336,389,324,0
337,472,368,0
338,331,855,0
339,97,826,0
340,952,64,0
341,486,179,0
342,962,972,0
343,424,527,0
344,448,310,0
345,394,190,0
346,958,541,0
347,433,496,0
348,167,596,0
349,306,514,0
350,181,88,0
351,153,200,0
352,428,682,0
353,338,348,0
354,345,525,0
355,147,271,0
356,810,313,0
357,686,642,0
358,652,317,0
359,303,748,0
360,580,938,0
361,214,683,0
362,652,317,0
363,346,721,0
364,764,98,0
365,824,724,0
366,832,690,0
367,639,975,0
368,425,449,0
369,359,901,0
370,980,613,0
371,576,793,0
372,779,853,0
373,772,902,0
374,149,932,0
375,164,407,0
376,536,923,0
377,938,897,0
378,933,144,0
379,267,187,0
380,583,707,0
381,416,248,0
382,167,596,0
383,195,5,0
384,469,685,0
385,544,574,0
386,314,340,0
387,539,719,0
388,598,416,0
389,652,317,0
390,286,992,0
391,933,144,0
392,682,261,0
393,917,490,0
394,695,209,0
395,766,976,0
396,787,637,0
397,428,682,0
398,992,298,0
399,930,785,0
400,420,826,0
401,212,988,0
402,636,879,0
403,838,487,0
404,296,975,0
405,477,34,0
406,492,840,0
407,859,10,0
408,379,431,0
409,752,295,0
410,457,43,0
411,419,846,0
412,662,611,0
413,825,422,0
414,689,678,0
415,446,955,0
416,342,958,0
417,147,271,0
418,800,90,0
419,216,638,0
420,138,787,0
421,126,16,0
422,911,19,0
423,14,521,0
424,458,936,0
425,750,973,0
426,224,790,0
427,874,535,0
428,931,315,0
429,667,122,0
430,481,609,0
431,81,972,0
432,89,416,0
433,398,810,0
434,689,678,0
435,859,10,0
436,314,340,0
437,95,764,0
438,126,16,0
439,772,645,0
440,266,164,0
441,909,816,0
442,160,347,0
443,833,570,0
444,187,864,0
445,660,105,0
446,71,97,0
447,153,196,0
448,880,854,0
449,489,561,0
450,379,969,0
451,961,157,0
452,335,179,0
453,477,34,0
454,667,122,0
455,61,487,0
456,284,608,0
457,486,853,0
458,833,506,0
459,725,647,0
460,339,467,0
461,882,798,0
462,113,123,0
463,580,938,0
464,327,703,0
465,992,421,0
466,709,719,0
467,181,88,0
468,61,487,0
469,306,514,0
470,129,868,0
471,89,416,0
472,931,315,0
473,859,10,0
474,407,840,0
475,486,179,0
476,630,820,0
477,887,361,0
478,446,955,0
479,71,97,0
480,196,710,0
481,379,969,0
482,798,485,0
483,568,360,0
484,692,400,0
485,843,224,0
486,91,109,0
487,576,793,0
488,702,407,0
489,446,26,0
490,97,95,0
491,129,868,0
492,725,314,0
493,207,480,0
494,719,860,0
495,376,143,0
496,531,454,0
497,711,988,0
498,52,899,0
499,126,16,0
500,113,220,0
501,66,191,0
502,728,685,0
503,472,368,0
504,725,314,0
505,609,100,0
506,660,417,0
507,702,407,0
508,723,984,0
509,569,30,0
510,126,343,0
511,678,138,0
512,933,144,0
513,725,647,0
514,977,376,0
515,79,88,0
516,339,467,0
517,444,107,0
518,539,719,0
519,60,327,0
520,602,412,0
521,126,676,0
522,65,585,0
523,737,391,0
524,398,810,0
525,565,143,0
526,420,826,0
527,642,983,0
528,379,431,0
529,979,592,0
530,52,163,0
531,695,209,0
532,181,88,0
533,889,725,0
534,241,989,0
535,963,494,0
536,286,992,0
537,261,279,0
538,824,724,0
539,709,273,0
540,791,9,0
541,690,250,0
542,419,145,0
543,324,330,0
544,419,846,0
545,598,416,0
546,720,856,0
547,791,403,0
548,194,868,0
549,448,310,0
550,531,191,0
551,384,447,0
552,380,225,0
553,798,485,0
554,331,855,0
555,253,318,0
556,80,706,0
557,938,897,0
558,787,637,0
559,838,277,0
560,94,231,0
561,123,970,0
562,131,433,0
563,972,863,0
564,306,514,0
565,437,857,0
566,126,343,0
567,662,611,0
568,895,403,0
569,145,808,0
570,664,386,0
571,448,365,0
572,750,973,0
573,904,370,0
574,617,874,0
575,992,421,0
576,149,932,0
577,335,179,0
578,586,579,0
579,764,98,0
580,479,540,0
581,764,487,0
582,49,952,0
583,641,46,0
584,874,138,0
585,664,740,0
586,335,179,0
587,820,822,0
588,789,674,0
589,697,358,0
590,542,44,0
591,218,518,0
592,128,567,0
593,747,862,0
594,878,438,0
595,838,487,0
596,384,447,0
597,754,156,0
598,203,990,0
599,413,459,0
600,145,808,0
601,116,201,0
602,203,990,0
603,89,416,0
604,225,936,0
605,289,486,0
606,123,970,0
607,9,140,0
608,448,310,0
609,709,719,0
610,319,496,0
611,49,952,0
612,843,224,0
613,630,820,0
614,117,98,0
615,867,606,0
616,575,430,0
617,895,403,0
618,930,770,0
619,997,199,0
620,849,651,0
621,859,10,0
622,757,330,0
623,181,88,0
624,750,973,0
625,100,307,0
626,91,109,0
627,377,859,0
628,917,490,0
629,80,706,0
630,917,490,0
631,938,897,0
632,533,615,0
633,859,10,0
634,267,187,0
635,201,886,0
636,359,515,0
637,529,795,0
638,216,638,0
639,838,277,0
640,448,365,0
641,941,965,0
642,568,393,0
643,82,165,0
644,637,603,0
645,710,321,0
646,232,135,0
647,764,307,0
648,606,313,0
649,961,157,0
650,45,814,0
651,187,864,0
652,269,567,0
653,97,826,0
654,931,315,0
655,858,940,0
656,153,200,0
657,14,521,0
658,833,506,0
659,537,122,0
660,376,143,0
661,356,192,0
662,853,390,0
663,766,882,0
664,97,826,0
665,61,487,0
666,911,19,0
667,121,700,0
668,146,852,0
669,367,363,0
670,833,570,0
671,952,64,0
672,492,587,0
673,9,916,0
674,536,923,0
675,424,527,0
676,859,74,0
677,458,936,0
678,81,972,0
679,586,579,0
680,752,295,0
681,882,798,0
682,244,722,0
683,79,88,0
684,79,88,0
685,17,187,0
686,218,518,0
687,954,576,0
688,754,340,0
689,523,291,0
690,129,963,0
691,123,334,0
692,395,153,0
693,583,259,0
694,195,5,0
695,303,748,0
696,172,449,0
697,7,759,0
698,194,868,0
699,874,138,0
700,536,923,0
701,489,561,0
702,116,201,0
703,214,179,0
704,472,619,0
705,466,865,0
706,195,801,0
707,992,421,0
708,900,593,0
709,60,327,0
710,206,322,0
711,605,665,0
712,586,579,0
713,182,648,0
714,759,449,0
715,52,163,0
716,103,227,0
717,230,609,0
718,972,863,0
719,529,795,0
720,695,209,0
721,849,651,0
722,583,259,0
723,214,683,0
724,711,988,0
725,630,820,0
726,208,730,0
727,7,759,0
728,943,895,0
729,187,864,0
730,745,855,0
731,425,299,0
732,327,703,0
733,52,163,0
734,188,388,0
735,919,951,0
736,941,965,0
737,542,785,0
738,591,360,0
739,89,416,0
740,176,288,0
741,977,376,0
742,759,449,0
743,486,179,0
744,3,208,0
745,395,153,0
746,625,706,0
747,153,200,0
748,425,449,0
749,153,196,0
750,24,286,0
751,961,157,0
752,65,585,0
753,943,895,0
754,167,596,0
755,284,608,0
756,431,919,0
757,938,897,0
758,783,772,0
759,401,196,0
760,425,299,0
761,419,846,0
762,858,940,0
763,448,365,0
764,167,596,0
765,739,689,0
766,432,188,0
767,286,821,0
768,82,182,0
769,849,651,0
770,759,237,0
771,728,685,0
772,666,45,0
773,416,248,0
774,503,720,0
775,887,361,0
776,701,429,0
777,5,77,0
778,711,988,0
779,3,208,0
780,94,231,0
781,976,447,0
782,9,916,0
783,314,340,0
784,800,90,0
785,82,182,0
786,97,184,0
787,334,715,0
788,867,606,0
789,108,997,0
790,457,43,0
791,536,923,0
792,261,279,0
793,882,798,0
794,398,810,0
795,998,181,0
796,443,61,0
797,147,271,0
798,388,596,0
799,425,449,0
800,438,462,0
801,457,43,0
802,160,347,0
803,448,310,0
804,367,363,0
805,89,416,0
806,432,188,0
807,108,997,0
808,494,553,0
809,25,635,0
810,123,334,0
811,428,682,0
812,912,408,0
813,359,515,0
814,904,370,0
815,636,879,0
816,697,358,0
817,131,433,0
818,641,46,0
819,80,146,0
820,212,988,0
821,359,901,0
822,80,146,0
823,244,722,0
824,728,685,0
825,253,812,0
826,303,748,0
827,531,191,0
828,737,600,0
829,541,459,0
830,7,738,0
831,934,881,0
832,469,685,0
833,660,417,0
834,379,431,0
835,82,165,0
836,636,879,0
837,389,324,0
838,224,790,0
839,815,845,0
840,824,276,0
841,376,143,0
842,745,855,0
843,42,908,0
844,994,367,0
845,416,248,0
846,416,248,0
847,24,286,0
848,874,138,0
849,512,516,0
850,100,307,0
851,753,696,0
852,218,518,0
853,472,368,0
854,747,862,0
855,379,969,0
856,45,814,0
857,934,881,0
858,794,995,0
859,128,15,0
860,218,518,0
861,147,271,0
862,126,16,0
863,800,90,0
864,980,613,0
865,887,361,0
866,430,101,0
867,512,516,0
868,697,358,0
869,916,605,0
870,633,299,0
871,772,685,0
872,260,275,0
873,66,191,0
874,289,549,0
875,308,335,0
876,80,706,0
877,253,33,0
878,878,293,0
879,481,227,0
880,291,836,0
881,943,895,0
882,94,231,0
883,420,457,0
884,889,725,0
885,287,299,0
886,853,390,0
887,720,856,0
888,737,391,0
889,815,845,0
890,3,208,0
891,789,674,0
892,690,250,0
893,586,579,0
894,753,696,0
895,580,938,0
896,745,941,0
897,660,105,0
898,419,145,0
899,569,107,0
900,116,201,0
901,416,248,0
902,131,433,0
903,428,183,0
904,301,565,0
905,388,596,0
906,690,250,0
907,772,902,0
908,418,261,0
909,993,671,0
910,303,748,0
911,710,321,0
912,201,886,0
913,759,237,0
914,753,696,0
915,194,868,0
916,388,596,0
917,832,277,0
918,630,820,0
919,958,541,0
920,9,916,0
921,208,459,0
922,900,593,0
923,916,605,0
924,361,508,0
925,895,403,0
926,195,5,0
927,709,273,0
928,160,347,0
929,327,703,0
930,754,156,0
931,123,970,0
932,430,101,0
933,383,272,0
934,742,811,0
935,438,462,0
936,640,622,0
937,24,286,0
938,486,853,0
939,764,307,0
940,660,105,0
